[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=12 | tokens_awal=2 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=2
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=922 | tokens_awal=122 | stopwords_dihapus=52 | token_di-stem=6 | token_akhir=70
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=14 | panjang_profil=594 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=15 | title='Jogjavaganza' | category='Entertainment'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=12 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=13 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=729 | tokens_awal=88 | stopwords_dihapus=23 | token_di-stem=19 | token_akhir=65
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=15 | panjang_profil=608 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=16 | title='Paradancer' | category='Entertainment'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=13 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=924 | tokens_awal=123 | stopwords_dihapus=65 | token_di-stem=24 | token_akhir=58
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=16 | panjang_profil=511 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=17 | title='Nyadran Makam Sewu' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=18 | tokens_awal=3 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1838 | tokens_awal=235 | stopwords_dihapus=104 | token_di-stem=37 | token_akhir=131
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=17 | panjang_profil=1036 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=18 | title='Pasar Sore Ramadhan Kauman' | category='Culinary'
